"Symbol","Scientific Name with Author","GSAT Common Name"
"ALLOP2","Allophyllum (Nutt.) A.D. Grant & V.E. Grant","falsegilia"
"ALLOT","Allotropa Torr. & A. Gray","allotropa"
"ALMA12","Alhagi maurorum Medik.","camelthorn"
"ALMA3","Aletes macdougalii J.M. Coult. & Rose","Macdougal aletes"
"ALMA8","Alopecurus magellanicus Lam.","alpine foxtail"
"ALMI10","Aliciella micromeria (A. Gray) J.M. Porter","dainty gilia"
"ALNE","Allium nevadense S. Watson","Nevada onion"
"ALNUS","Alnus Mill.","alder"
"ALNY2","Aliciella nyensis (Reveal) J.M. Porter","Nye gilia"
"ALOB","Allium obtusum Lemmon","red Sierran onion"
"ALOBO","Allium obtusum Lemmon var. obtusum","red Sierran onion"
"ALOC2","Allenrolfea occidentalis (S. Watson) Kuntze","iodinebush"
"ALOPE","Alopecurus L.","foxtail"
"ALOYS","Aloysia Juss.","Aloysia"
"ALPA14","Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve","alkali marsh aster"
"ALPA3","Allium parvum Kellogg","small onion"
"ALPL","Alisma plantago-aquatica L.","common water plantain"
"ALPL2","Allium platycaule S. Watson","broadstem onion"
"ALPR3","Alopecurus pratensis L.","MEADOW FOXTAIL"
"ALPU","Allium punctum L.F. Hend.","dotted onion"
"ALRH2","Alnus rhombifolia Nutt.","white alder"
"ALRI3","Aliciella ripleyi (Barneby) J.M. Porter","Ripley's gilia"
"ALRO3","Alcea rosea L.","hollyhock"
"ALSC","Allium schoenoprasum L.","wild chives"
"ALSI8","Alyssum simplex Rudolphi","European alyssum"
"ALSI8","Alyssum simplex Rudolphi","European alyssum"
"ALST2","Alyssum strigosum Banks & Sol.","hairy alyssum"
"ALSU9","Aliciella subnuda (Torr. ex A. Gray) J.M. Porter","Canyon Lands gilia"
"ALTE","Allium textile A. Nelson & J.F. Macbr.","wild onion"
"ALTO","Allium tolmiei (Hook.) Baker ex S. Watson","Tolmie's onion"
"ALTOT","Allium tolmiei (Hook.) Baker ex S. Watson var. tolmiei","Tolmie's onion"
"ALTR14","Aliciella triodon (Eastw.) Brand","coyote gilia"
"ALTR2","Allium tribracteatum Torr.","threebract onion"
"ALTR7","Alisma triviale Pursh","northern water plantain"
"ALVA","Allium validum S. Watson","swamp onion"
"ALVI","Allium vineale L.","WILD GARLIC"
"ALVI2","Allotropa virgata Torr. & A. Gray ex A. Gray","sugarstick"
"ALWR","Aloysia wrightii (A. Gray) A. Heller","lemon verbana"
"ALYSS","Alyssum L.","alyssum"
"AMAC2","Ambrosia acanthicarpa Hook.","sand bursage"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAL2","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatoon serviceberry"
"AMALA","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia","Saskatoon serviceberry"
"AMAM2","Ambrosia ambrosioides (Cav.) Payne","ambrosia bursage"
"AMAR","Amaranthus arenicola I.M. Johnst.","sandhill amaranth"
"AMAR2","Ambrosia artemisiifolia L.","COMMON RAGWEED"
"AMARA","Amaranthus L.","pigweed"
"AMARE","Ambrosia artemisiifolia L. var. elatior (L.) Descourtils","annual ragweed"
"AMBL","Amaranthus blitoides S. Watson","prostrate amaranth"
"AMBRO","Ambrosia L.","ragweed"
"AMCA","Amaranthus californicus (Moq.) S. Watson","California amaranth"
"AMDU2","Ambrosia dumosa (A. Gray) Payne","white bursage"
"AMELA","Amelanchier Medik.","serviceberry"
"AMER","Ambrosia eriocentra (A. Gray) Payne","hollyleaf bursage"
"AMFI","Amaranthus fimbriatus (Torr.) Benth. ex S. Watson","fringed amaranth"
"AMFI","Amaranthus fimbriatus (Torr.) Benth. ex S. Watson","fringed amaranth"
"AMFR2","Amphipappus fremontii Torr. & A. Gray ex A. Gray","Fremont's chaffbush"
"AMFRF","Amphipappus fremontii Torr. & A. Gray ex A. Gray ssp. fremontii","Fremont's chaffbush"
"AMFRS2","Amphipappus fremontii Torr. & A. Gray ex A. Gray ssp. spinosus (A. Nelson) D.D. Keck","Fremont's chaffbush"
"AMHY","Amaranthus hybridus L.","slim amaranth"
"AMMAN","Ammannia L.","redstem"
"AMME","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.","Menzies' fiddleneck"
"AMMEI2","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders","intermediate fiddleneck"
"AMMEM2","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. menziesii","rigid fiddleneck"
"AMPA","Amaranthus palmeri S. Watson","Palmer's amaranth"
"AMPA2","Amelanchier pallida Greene","pale serviceberry"
"AMPHI3","Amphipappus Torr. & A. Gray","amphipappus"
"AMPO2","Amaranthus powellii S. Watson","Powell's amaranth"
"AMPR","Amaranthus pringlei S. Watson","Pringle's amaranth"
"AMPS","Ambrosia psilostachya DC.","WESTERN RAGWEED"
"AMRE","Amaranthus retroflexus L.","redroot amaranth"
"AMRO3","Ammannia robusta Heer & Regel","longleaf ammannia"
"AMSIN","Amsinckia Lehm.","fiddleneck"
"AMSON","Amsonia Walter","Amsonia"
"AMTE3","Amsinckia tessellata A. Gray","bristly fiddleneck"
"AMTO2","Amsonia tomentosa Torr. & Frém.","wooly amosonia"
"AMTO3","Ambrosia tomentosa Nutt.","skeletonleaf bursage"
"AMTOT","Amsonia tomentosa Torr. & Frém. var. tomentosa","woolly bluestar"
"AMUT","Amelanchier utahensis Koehne","Utah serviceberry"
"AMUTC2","Amelanchier utahensis Koehne var. covillei (Standl.) N.H. Holmgren","Coville's serviceberry"
"AMUTU","Amelanchier utahensis Koehne var. utahensis","Utah serviceberry"
"ANAC","Anisocoma acaulis Torr. & A. Gray","scale bud"
"ANAGA","Anagallis L.","anagallis"
"ANAL4","Antennaria alpina (L.) Gaertn.","alpine everlasting"
"ANAN2","Antennaria anaphaloides Rydb.","tall everlasting"
"ANAPH","Anaphalis DC.","pearlyeverlasting"
"ANAR","Anagallis arvensis L.","SCARLET PIMPERNEL"
"ANAR3","Angelica arguta Nutt.","sharptooth angelica"
"ANAR4","Antennaria arcuata Cronquist","box pussytoes"
"ANAR5","Antennaria argentea Benth.","silvery pussytoes"
"ANBR4","Androstephium breviflorum S. Watson","smallflower androstephium"
"ANBR5","Angelica breweri A. Gray","Brewer's angelica"
"ANCA10","Anemopsis californica (Nutt.) Hook. & Arn.","yerba mansa"
"ANCIS2","Ancistrocarphus A. Gray","neststraw"
"ANCO","Antennaria corymbosa E.E. Nelson","meadow everlasting"
"ANCO2","Anthemis cotula L.","chamomile"
"ANDI2","Antennaria dimorpha (Nutt.) Torr. & A. Gray","low everlasting"
"ANDRO2","Andropogon L.","bluestem"
"ANDRO3","Androsace L.","rockjasmine"
"ANDRO4","Androstephium Torr.","funnellily"
"ANEL2","Androsace elongata L.","California rockjasmine"
"ANELA","Androsace elongata L. ssp. acuta (Greene) G.T. Robbins","California rockjasmine"
"ANELS","Anelsonia J.F. Macbr. & Payson","anelsonia"
"ANEMO","Anemone L.","Anemone"
"ANEMO3","Anemopsis Hook. & Arn.","Anemopsis"
"ANEU","Anelsonia eurycarpa (A. Gray) J.F. Macbr. & Payson","broad pod anelsonia"
"ANFI3","Ancistrocarphus filagineus A. Gray","hooded neststraw"
"ANGE3","Antennaria geyeri A. Gray","Geyer's everlasting"
"ANGEL","Angelica L.","Angelica"
"ANGL2","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","BUSHY BLUESTEM"
"ANGLP","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. pumilus Vasey ex L.H. Dewey","BUSHY BLUESTEM"
"ANISO3","Anisocoma Torr. & A. Gray","anisocoma"
"ANKI","Angelica kingii (S. Watson) J.M. Coult. & Rose","King's angelica"
"ANLA7","Antheropeas lanosum (A. Gray) Rydb.","white easterbonnets"
"ANLE5","Anulocaulis leiosolenus (Torr.) Standl.","ringstem"
"ANLEL2","Anulocaulis leiosolenus (Torr.) Standl. var. leiosolenus","southwestern ringstem"
"ANLI2","Angelica lineariloba A. Gray","Sierra angelica"
"ANLI4","Anemone lithophila Rydb.","Little Belt Mtn thimbleweed"
"ANLU2","Antennaria luzuloides Torr. & A. Gray","rush pussytoes"
"ANLUA2","Antennaria luzuloides Torr. & A. Gray ssp. aberrans (E.E. Nelson) Bayer & Stebbins","small head everlasting"
"ANMA","Anaphalis margaritacea (L.) Benth.","pearly everlasting"
"ANME2","Antennaria media Greene","ROCKY MOUNTAIN PUSSYTOES"
"ANMI3","Antennaria microphylla Rydb.","small leaf everlasting"
"ANMU","Anemone multifida Poir.","Pacific anemone"
"ANMUM3","Anemone multifida Poir. var. multifida","Hudson's anemone"
"ANMUS","Anemone multifida Poir. var. saxicola B. Boivin","red windflower"
"ANMUT","Anemone multifida Poir. var. tetonensis (Porter ex Britton) C.L. Hitchc.","Teton anemone"
"ANPA4","Antennaria parvifolia Nutt.","small leaf pussytoes"
"ANPI2","Angelica pinnata S. Watson","small leaf angelica"
"ANPU8","Antennaria pulchella Greene","beautiful pussytoes"
"ANRO","Angelica roseana L.F. Hend.","rose angelica"
"ANRO2","Antennaria rosea Greene","rose pussytoes"
"ANROC","Antennaria rosea Greene ssp. confinis (Greene) Bayer","rosy pussytoes"
"ANSC9","Angelica scabrida Clokey & Mathias ex Clokey","Charleston Mountain angelica"
"ANSE4","Androsace septentrionalis L.","pygmyflower rockjasmine"
"ANSEP2","Androsace septentrionalis L. ssp. puberulenta (Rydb.) G.T. Robbins","pygmyflower rockjasmine"
"ANSES5","Androsace septentrionalis L. ssp. subumbellata (A. Nelson) G.T. Robbins","pygmyflower rockjasmine"
"ANSO2","Antennaria soliceps S.F. Blake","Charleston Mtn everlasting"
"ANST2","Antennaria stenophylla (A. Gray) A. Gray","narrowleaf everlasting"
"ANTEN","Antennaria Gaertn.","pussytoes"
"ANTHE","Anthemis L.","chamomile"
"ANTHE4","Antheropeas Rydb.","easterbonnets"
"ANTU","Anemone tuberosa Rydb.","tuber anemone"
"ANULO","Anulocaulis Standl.","ringstem"
"ANUM","Antennaria umbrinella Rydb.","brown everlasting"
"ANWA","Antheropeas wallacei (A. Gray) Rydb.","Wallace's woolydaisy"
"APAN2","Apocynum androsaemifolium L.","SPREADING DOGBANE"
"APCA","Apocynum cannabinum L.","prairie dogbane"
"APCA","Apocynum cannabinum L.","common dogbane"
"APERA","Apera Adans.","silkybent"
"APFL","Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]","intermediate dogbane"
"APGR2","Apium graveolens L.","WILD CELERY"
